CompanyName,DaysRunning,FinalBudget,FinalState,NumberOfProjectsDone
Alpha,111,1191000,finished,10
Beta,111,1145500,finished,10
Gamma,78,1160000,finished,10
Delta,48,1273000,finished,10
Epsilon,44,1701400,finished,10
Theta,42,1875600,finished,10
Omega,42,20255600,finished,10
